Date,Winter,LateFall,Fall,Spring
1977-05-02,0.000450374,0,0.025667125,0.010942208
1977-05-03,0.00038682,0,0.026069513,0.010157711
1977-05-04,0.000330214,0,0.026360789,0.009396887
1977-05-05,0.000280221,0,0.026537115,0.008663022
1977-05-06,0.000235918,0,0.026596152,0.007958882
1977-05-07,0.000197407,0,0.026537115,0.007286718
1977-05-08,0.000163992,0,0.026360789,0.006648277
1977-05-09,0.000135042,0,0.026069513,0.006044822
1977-05-10,0.00011059,0,0.025667125,0.005477157
1977-05-11,8.97E-05,0,0.025158882,0.004945658
1977-05-12,7.20E-05,0,0.024551343,0.004450309
1977-05-13,5.75E-05,0,0.023852229,0.003990742
1977-05-14,4.53E-05,0,0.02307026,0.00356627
1977-05-15,3.54E-05,0,0.022214974,0.003175939
1977-05-16,2.75E-05,0,0.021296534,0.00281856
1977-05-17,2.10E-05,0,0.020325528,0.002492756
1977-05-18,1.60E-05,0,0.01931277,0.002196997
1977-05-19,1.20E-05,0,0.018269098,0.00192964
1977-05-20,8.90E-06,0,0.017205188,0.001688964
1977-05-21,6.58E-06,0,0.016131382,0.001473201
1977-05-22,4.78E-06,0,0.015057522,0.001280562
1977-05-23,3.44E-06,0,0.01399282,0.001109268
1977-05-24,2.45E-06,0,0.012945737,0.000957568
1977-05-25,0,0,0.011923894,0.000823759
1977-05-26,0,0,0.010934005,0.0007062
1977-05-27,0,0,0.009981831,0.000603327
1977-05-28,0,0,0.009072165,0.000513659
1977-05-29,0,0,0.008208835,0.000435807
1977-05-30,0,0,0.007394722,0.000368477
1977-05-31,0,0,0.006631809,0.000310474
1977-06-01,0,0,0.005921231,0.000260697
1977-06-02,0,0,0.005263344,0.000218145
1977-06-03,0,0,0.004657805,0.000181907
1977-06-04,0,0,0.004103653,0.000151166
1977-06-05,0,0,0.003599398,0.000125185
1977-06-06,0,0,0.003143104,0.000103312
1977-06-07,0,0,0.002732484,0
1977-06-08,0,0,0.002364973,0
1977-06-09,0,0,0.002037814,0
1977-06-10,0,0,0.001748126,0
1977-06-11,0,0,0.001492969,0
1977-06-12,0,0,0.0012694,0
1977-06-13,0,0,0.001074524,0
1977-06-14,0,0,0.000905531,0
1977-06-15,0,0,0.000759732,0
1977-06-16,0,0,0.000634582,0
1977-06-17,0,0,0.000527697,0
1977-06-18,0,0,0.000436869,0
1977-06-19,0,0,0.00036007,0
1977-06-20,0,0,0.000295457,0
1977-06-21,0,0,0.000241362,0
1977-06-22,0,0,0.000196298,0
1977-06-23,0,0,0.000158939,0
1977-06-24,0,0,0.00012812,0
1977-06-25,0,0,0.000102819,0
1977-06-26,0,0,0.0000821,0
1977-06-27,0,0,0.0000653,0
1977-06-28,0,0,0.0000517,0
1977-06-29,0,0,0.0000408,0
1977-06-30,0,0,0.000032,0
1977-07-01,0,0,0.000025,0
1977-07-02,0,0,0,0
1977-07-03,0,0,0,0
1977-07-04,0,0,0,0
1977-07-05,0,0,0,0
1977-07-06,0,0,0,0
1977-07-07,0,0,0,0
1977-07-08,0,0,0,0
1977-07-09,0,0,0,0
1977-07-10,0,0,0,0
1977-07-11,0,0,0,0
1977-07-12,0,0,0,0
1977-07-13,0,0,0,0
1977-07-14,0,0,0,0
1977-07-15,0,0,0,0
1977-07-16,0,0,0,0
1977-07-17,0,0,0,0
1977-07-18,0,0,0,0
1977-07-19,0,0,0,0
1977-07-20,0,0,0,0
1977-07-21,0,0,0,0
1977-07-22,0,0,0,0
1977-07-23,0,0,0,0
1977-07-24,0,0,0,0
1977-07-25,0,0,0,0
1977-07-26,0,0,0,0
1977-07-27,0,0,0,0
1977-07-28,0,0,0,0
1977-07-29,0,0,0,0
1977-07-30,0,0,0,0
1977-07-31,0,0,0,0
1977-08-01,0,0,0,0
1977-08-02,0,0,0,0
1977-08-03,0,0.000718863,0,0
1977-08-04,0,0.000761171,0,0
1977-08-05,0,0.000805466,0,0
1977-08-06,0,0.000851806,0,0
1977-08-07,0,0.000900249,0,0
1977-08-08,0,0.000950852,0,0
1977-08-09,0,0.001003672,0,0
1977-08-10,0,0.001058765,0,0
1977-08-11,0,0.001116184,0,0
1977-08-12,0,0.001175981,0,0
1977-08-13,0,0.001238208,0,0
1977-08-14,0,0.001302914,0,0
1977-08-15,0,0.001370144,0,0
1977-08-16,0,0.001439942,0,0
1977-08-17,0,0.001512351,0,0
1977-08-18,0,0.001587409,0,0
1977-08-19,0,0.001665151,0,0
1977-08-20,0,0.001745608,0,0
1977-08-21,0,0.00182881,0,0
1977-08-22,0,0.001914781,0,0
1977-08-23,0,0.00200354,0,0
1977-08-24,0,0.002095104,0,0
1977-08-25,0,0.002189483,0,0
1977-08-26,0,0.002286685,0,0
1977-08-27,0,0.002386709,0,0
1977-08-28,0,0.002489553,0,0
1977-08-29,0,0.002595205,0,0
1977-08-30,0,0.002703651,0,0
1977-08-31,0,0.002814869,0,0
1977-09-01,0,0.00292883,0,0
1977-09-02,0,0.003045501,0,0
1977-09-03,0,0.003164842,0,0
1977-09-04,0,0.003286804,0,0
1977-09-05,0,0.003411333,0,0
1977-09-06,0,0.003538368,0,0
1977-09-07,0,0.00366784,0,0
1977-09-08,0,0.003799675,0,0
1977-09-09,0,0.003933789,0,0
1977-09-10,0,0.004070092,0,0
1977-09-11,0,0.004208486,0,0
1977-09-12,0,0.004348868,0,0
1977-09-13,0,0.004491124,0,0
1977-09-14,0,0.004635136,0,0
1977-09-15,0,0.004780777,0,0
1977-09-16,0,0.004927913,0,0
1977-09-17,0,0.005076404,0,0
1977-09-18,0,0.005226101,0,0
1977-09-19,0,0.005376852,0,0
1977-09-20,0,0.005528495,0,0
1977-09-21,0,0.005680862,0,0
1977-09-22,0,0.005833782,0,0
1977-09-23,0,0.005987076,0,0
1977-09-24,0,0.006140558,0,0
1977-09-25,0,0.006294039,0,0
1977-09-26,0,0.006447327,0,0
1977-09-27,0,0.006600221,0,0
1977-09-28,0,0.006752519,0,0
1977-09-29,0,0.006904015,0,0
1977-09-30,0,0.007054499,0,0
